phone number,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
400-9510,263.9,105,11.88,9.5,7,2.57,3
387-6103,127.7,91,5.75,10.6,7,2.86,3
366-4467,163.2,137,7.34,9.8,5,2.65,1
370-3450,174.1,72,7.83,13,4,3.51,0
327-3954,190.9,113,8.59,8.7,3,2.35,4
379-6506,160.2,92,7.21,4.4,8,1.19,4
347-7741,129.1,102,5.81,14.6,5,3.94,0
354-3783,180,100,8.1,10.5,6,2.84,0
401-7594,245.3,102,11.04,12.5,9,3.38,1
397-4976,248.6,75,11.19,11.3,2,3.05,1
334-2577,190,115,8.55,11.8,4,3.19,4
400-3637,187.2,113,8.42,9,6,2.43,2
383-4361,217,86,9.76,9.8,3,2.65,1
371-4306,219.4,142,9.87,10.1,1,2.73,1
403-4298,241.4,108,10.86,9.6,7,2.59,3
409-3786,119.2,86,5.36,8.3,8,2.24,1
337-4697,222.8,91,10.03,12.6,2,3.4,2
383-1509,227.7,113,10.25,12.1,4,3.27,4
359-9794,247.8,114,11.15,13.3,7,3.59,1
407-7035,211.4,88,9.51,9.4,3,2.54,1
391-4652,57.5,122,2.59,14.2,3,3.83,1
409-1244,177.6,118,7.99,10,3,2.7,2
328-3266,143.3,81,6.45,8.7,5,2.35,2
352-7072,200.1,116,9,13.1,7,3.54,1
370-7550,142.2,123,6.4,7.2,3,1.94,0
369-5526,220.8,103,9.94,9.8,4,2.65,3
329-4391,112.9,89,5.08,11.6,3,3.13,1
408-4195,227.4,117,10.23,9.2,5,2.48,2
354-4445,252.5,106,11.36,12,3,3.24,1
409-5939,175,86,7.88,9.2,4,2.48,2
331-4902,264.7,102,11.91,9.5,4,2.57,3
353-6870,146.9,123,6.61,10.9,2,2.94,3
355-2909,256.7,80,11.55,6.1,5,1.65,1
390-6101,261.4,120,11.76,9.5,3,2.57,1
400-3446,206.1,60,9.27,7.1,1,1.92,4
411-5859,206.4,80,9.29,9.1,10,2.46,1
387-2919,247.2,130,11.12,11.2,3,3.02,3
374-8525,237.5,134,10.69,5.3,4,1.43,5
379-5592,195.6,129,8.8,12,3,3.24,3
345-8237,263.3,71,11.85,11.2,8,3.02,1
422-6690,158.6,59,7.14,10.2,5,2.75,2
346-2359,193.6,112,8.71,12.4,3,3.35,1
374-3534,253.8,116,11.42,10.5,4,2.84,0
381-4756,109.7,139,4.94,6.8,5,1.84,3
390-2805,200.5,96,9.02,11.7,4,3.16,1
419-9097,110.4,98,4.97,14.3,6,3.86,3
386-7281,203.4,110,9.15,13.7,3,3.7,1
380-3561,121.1,105,5.45,11.7,4,3.16,1
390-8760,161.6,103,7.27,8.5,5,2.3,1
366-6730,286.9,86,12.91,11.1,4,3,2
395-5285,172.3,67,7.75,10.6,6,2.86,1
354-3436,299,105,13.46,10.1,7,2.73,1
336-7600,227.3,86,10.23,7.5,6,2.03,1
383-6293,140.5,142,6.32,6.9,11,1.86,1
362-4596,269.5,87,12.13,11.5,4,3.11,5
401-3926,265.9,101,11.97,9.8,4,2.65,0
328-6289,259.2,112,11.66,13.7,2,3.7,0
350-9994,178.6,79,8.04,10.2,2,2.75,1
351-4616,164.8,114,7.42,9.6,4,2.59,1
360-5779,137.5,101,6.19,7.1,5,1.92,0
417-4885,253.5,103,11.41,12,6,3.24,0
406-4710,229.5,105,10.33,10.5,5,2.84,3
409-8743,236.6,82,10.65,12.2,1,3.29,1
335-4584,167.2,91,7.52,6.1,3,1.65,1
361-9845,228.7,104,10.29,12.1,2,3.27,2
366-5699,264.8,126,11.92,7.5,3,2.03,1
329-9364,261.3,90,11.76,10.9,3,2.94,1
390-7434,105.9,73,4.77,12.8,4,3.46,1
404-9680,154,53,6.93,6.3,2,1.7,0
338-9398,97.4,79,4.38,13.2,2,3.56,1
394-2445,164.7,86,7.41,10.6,5,2.86,2
381-2709,268.9,86,12.1,10.5,4,2.84,3
397-5060,182.4,150,8.21,14.1,2,3.81,1
415-2393,244.7,104,11.01,6.1,5,1.65,0
377-1765,170.9,106,7.69,11.1,7,3,2
409-2111,195.2,115,8.78,12.2,3,3.29,0
401-3170,195.2,113,8.78,11.5,3,3.11,2
405-5681,208,112,9.36,16.2,10,4.37,3
411-4582,201.2,112,9.05,0,0,0,3
355-5009,282.2,103,12.7,9.5,5,2.57,4
405-2888,169.9,103,7.65,9.9,12,2.67,2
361-3337,214,127,9.63,14.6,7,3.94,2
350-1639,134.4,121,6.05,8.4,3,2.27,3
333-3221,241.2,92,10.85,10.8,13,2.92,1
422-1471,198.5,103,8.93,10.2,4,2.75,1
399-7865,77.3,121,3.48,10.9,3,2.94,2
373-4819,187.1,112,8.42,9,3,2.43,1
338-6981,231.2,107,10.4,9.1,3,2.46,1
418-4365,112.2,115,5.05,8.9,4,2.4,0
359-5461,238,69,10.71,9.5,2,2.57,1
375-3586,208.2,119,9.37,8.8,4,2.38,2
407-8376,150,131,6.75,13.4,2,3.62,0
408-6496,119.1,88,5.36,9.5,4,2.57,1
385-7688,180.5,92,8.12,6.8,6,1.84,1
332-6934,261.5,126,11.77,9.7,8,2.62,0
399-6786,245.7,89,11.06,13,3,3.51,0
358-3261,249.9,96,11.25,13.1,5,3.54,3
377-9932,245,131,11.03,11.2,1,3.02,2
397-4030,240.5,110,10.82,6.4,8,1.73,3
367-1062,217,83,9.76,6.8,3,1.84,2
341-8467,198.1,93,8.91,9.4,4,2.54,1
339-9453,190.4,117,8.57,12.1,2,3.27,1
344-3388,179.8,84,8.09,13.7,8,3.7,2
375-8013,223.3,90,10.05,10.8,5,2.92,3
408-4142,260.1,124,11.7,12.2,5,3.29,3
386-3671,226.1,89,10.17,15.8,7,4.27,3
411-2284,188.2,109,8.47,11.6,10,3.13,1
346-7795,194.3,94,8.74,11.9,11,3.21,0
333-5609,122.4,68,5.51,10.7,3,2.89,1
405-1842,246.9,121,11.11,12.2,6,3.29,1
337-9345,225.2,131,10.13,11.5,6,3.11,3
328-6770,172.5,120,7.76,10.9,3,2.94,0
380-7321,265.4,91,11.94,4.7,7,1.27,3
356-1567,188.7,107,8.49,7.1,12,1.92,0
422-6685,212.2,99,9.55,12.2,6,3.29,3
336-1090,244.9,68,11.02,10.2,6,2.75,1
343-2095,220.2,104,9.91,4.4,2,1.19,1
345-3934,174.3,104,7.84,8.9,6,2.4,2
338-8050,236,113,10.62,13.8,1,3.73,2
388-9568,250.1,123,11.25,2.7,4,0.73,1
402-6591,221.5,136,9.97,7.7,2,2.08,3
403-6419,76.5,139,3.44,9.6,3,2.59,2
386-9790,136.9,102,6.16,13.3,3,3.59,4
378-5692,163.3,108,7.35,11.9,3,3.21,0
410-3719,197.6,92,8.89,11,6,2.97,1
352-4221,180.9,122,8.14,13.5,2,3.65,3
327-6179,154.3,113,6.94,10.9,2,2.94,0
359-6196,233.2,117,10.49,9,5,2.43,1
357-4078,234.9,98,10.57,9,9,2.43,2
366-5780,192.2,101,8.65,9.8,7,2.65,3
393-9619,226.6,110,10.2,10.7,9,2.89,0
355-9295,139.8,87,6.29,9.4,6,2.54,1
400-5751,195.3,79,8.79,12.9,5,3.48,0
405-8867,275.8,103,12.41,8.4,2,2.27,1
336-5616,194.3,110,8.74,7.1,2,1.92,3
331-5138,202.3,96,9.1,9.5,5,2.57,0
385-8240,261.8,106,11.78,11.1,3,3,0
348-1359,283.4,66,12.75,10.2,5,2.75,0
354-7339,245.9,97,11.07,9.2,2,2.48,4
349-1687,228.4,112,10.28,11.8,4,3.19,2
365-2153,191.8,143,8.63,14.4,7,3.89,4
345-6043,172.4,108,7.76,9.1,8,2.46,3
349-2808,236.9,58,10.66,9.5,3,2.57,0
411-1715,178.3,81,8.02,10.9,3,2.94,0
385-2488,173.1,86,7.79,14.1,8,3.81,4
377-7177,231.6,92,10.42,9.8,3,2.65,1
342-1099,193.4,95,8.7,14.5,8,3.92,1
413-1269,169.4,80,7.62,8.7,4,2.35,1
396-4460,231.2,55,10.4,6.7,9,1.81,1
334-2730,223.9,61,10.08,15.4,1,4.16,1
340-3182,185.2,96,8.33,11.5,3,3.11,1
377-8608,241,136,10.85,12.5,1,3.38,1
417-3676,146.5,85,6.59,8.3,6,2.24,2
417-6774,291.6,83,13.12,11.4,6,3.08,1
411-9554,232.4,100,10.46,8.4,9,2.27,4
420-3192,263.9,98,11.88,13.5,6,3.65,3
389-1475,147.4,89,6.63,4.5,4,1.22,0
343-7734,184.8,99,8.32,9.9,3,2.67,2
410-3390,249.9,100,11.25,14.6,3,3.94,0
344-6495,200.9,104,9.04,7.7,3,2.08,1
331-6229,206.2,107,9.28,8,13,2.16,3
337-7501,203.2,101,9.14,13,3,3.51,3
339-9631,239.2,114,10.76,10,3,2.7,1
369-4384,122.5,100,5.51,9.8,5,2.65,3
416-3915,203.3,99,9.15,11.1,4,3,0
361-7998,254.2,59,11.44,10.9,6,2.94,2
355-4842,222.7,114,10.02,10.5,6,2.84,3
387-6440,188.2,119,8.47,13,4,3.51,2
369-2625,193.3,71,8.7,10.4,6,2.81,2
389-7073,144.1,80,6.48,12.2,1,3.29,1
370-8463,240.3,105,10.81,9,2,2.43,1
362-7318,281.4,56,12.66,6.7,5,1.81,3
412-1194,252.1,102,11.34,15.6,3,4.21,2
355-9508,194.5,84,8.75,8.8,5,2.38,2
352-8202,289.9,84,13.05,14.5,4,3.92,2
335-5882,255.2,98,11.48,14.1,5,3.81,0
393-6733,299.3,94,13.47,8,2,2.16,0
335-1838,125.1,124,5.63,9.7,3,2.62,0
355-6930,146.7,108,6.6,5.9,4,1.59,1
343-2605,259.5,70,11.68,9.8,3,2.65,1
350-6759,216.8,109,9.76,9.5,5,2.57,1
371-1514,142.4,85,6.41,10.1,5,2.73,2
346-9317,240.4,99,10.82,11.9,1,3.21,0
398-4313,207.1,91,9.32,6.6,9,1.78,4
412-4399,287.7,114,12.95,6.6,5,1.78,1
330-1835,195.4,111,8.79,11.9,4,3.21,2
360-6868,241.1,89,10.85,9.1,4,2.46,1
405-6641,214.1,90,9.63,10.3,10,2.78,1
393-2373,173.1,70,7.79,9.1,5,2.46,2
341-3464,183.4,107,8.25,11.4,2,3.08,0
413-5310,183.5,74,8.26,8.9,4,2.4,3
399-8845,183.5,82,8.26,9.7,6,2.62,1
368-2583,220.1,64,9.9,10.9,3,2.94,0
360-6309,205,77,9.23,9.8,4,2.65,0
359-5890,254.4,111,11.45,18.9,2,5.1,0
332-2462,123.9,46,5.58,12.4,3,3.35,1
381-9196,160.5,76,7.22,7.7,4,2.08,2
329-3222,147.6,76,6.64,7.6,3,2.05,3
363-5819,273,102,12.29,5,5,1.35,3
330-7483,287.4,78,12.93,6.2,3,1.67,0
403-7775,232.4,89,10.46,12.9,3,3.48,1
360-2479,234.9,74,10.57,10,3,2.7,0
394-3791,251.6,91,11.32,11.3,4,3.05,1
384-2632,245.1,112,11.03,13.4,5,3.62,3
359-8466,152.3,118,6.85,7.1,3,1.92,0
331-8909,197.4,42,8.88,11.4,4,3.08,1
359-5160,156.3,95,7.03,9.5,4,2.57,1
330-9833,188.4,96,8.48,12.5,3,3.38,0
362-2314,79.7,108,3.59,14.4,12,3.89,0
338-8478,130.2,94,5.86,7.9,2,2.13,3
365-8779,206.3,78,9.28,9.3,4,2.51,0
407-2750,233.2,101,10.49,7.5,4,2.03,1
396-8265,169.1,44,7.61,8.6,4,2.32,1
397-4304,170.2,104,7.66,10.6,2,2.86,0
333-2611,302.8,136,13.63,7,7,1.89,2
409-8814,212.7,104,9.57,7.6,3,2.05,2
336-5406,175.5,102,7.9,14.6,2,3.94,0
361-9923,275,145,12.38,10.8,11,2.92,1
350-6639,227.7,62,10.25,14,7,3.78,0
376-4300,244.8,84,11.02,0,0,0,2
349-6567,165.9,99,7.47,13.3,3,3.59,1
333-7749,135,119,6.08,7.2,8,1.94,3
408-6089,261.3,101,11.76,12.2,5,3.29,1
375-2165,186.7,89,8.4,10.5,11,2.84,1
400-6999,127.6,105,5.74,13.1,5,3.54,3
366-5241,229.9,100,10.35,11.3,8,3.05,4
413-3412,237.3,85,10.68,10.1,4,2.73,4
406-2752,96.4,87,4.34,5.3,3,1.43,1
337-8078,204,82,9.18,14.7,9,3.97,2
371-7917,213.7,98,9.62,12.7,2,3.43,1
343-6374,206,114,9.27,11.3,4,3.05,1
385-8730,122.4,96,5.51,8.5,2,2.3,2
393-7892,114.3,90,5.14,9.2,4,2.48,1
407-6748,178.4,97,8.03,5.8,4,1.57,1
351-2587,253,99,11.39,11.3,6,3.05,0
421-9752,222.1,131,9.99,12,5,3.24,1
356-4001,309.6,136,13.93,11.3,3,3.05,2
328-9869,192.1,81,8.64,10.9,2,2.94,0
334-1872,128.6,115,5.79,9.1,3,2.46,4
350-1040,255,100,11.48,18,3,4.86,1
369-3214,146.7,114,6.6,7.6,5,2.05,1
385-6778,164.9,76,7.42,16,2,4.32,0
383-7689,204.4,82,9.2,10.3,6,2.78,1
385-5722,225.3,91,10.14,10.6,6,2.86,2
364-3567,167.3,108,7.53,14.8,2,4,2
422-4241,276.9,58,12.46,9.2,6,2.48,2
370-2957,134.5,82,6.05,10.6,5,2.86,0
329-6562,187.9,111,8.46,11.2,7,3.02,2
363-3515,226.1,106,10.17,6.7,18,1.81,1
345-2931,233.1,96,10.49,6.8,4,1.84,2
373-5732,218.6,50,9.84,14.7,2,3.97,3
348-7437,240,112,10.8,14.7,4,3.97,1
332-9460,249.5,92,11.23,5.7,4,1.54,0
355-6531,225.6,120,10.15,3.7,5,1,1
336-9390,187.9,82,8.46,7.2,4,1.94,2
346-8581,204.7,111,9.21,10.7,7,2.89,4
363-8824,321.3,98,14.46,8.9,1,2.4,3
353-3351,127.8,53,5.75,8.5,5,2.3,1
360-4320,148.2,105,6.67,10.7,3,2.89,1
417-6252,285.1,100,12.83,10.2,6,2.75,3
393-4949,214.7,102,9.66,11.1,2,3,1
401-3156,213.1,77,9.59,8.7,3,2.35,0
338-6283,232.8,115,10.48,12.4,5,3.35,5
352-9017,185.7,91,8.36,9.4,3,2.54,2
376-9249,107.6,42,4.84,9.7,5,2.62,0
339-7139,204.1,137,9.18,7.8,4,2.11,0
378-1303,186.5,118,8.39,8.5,4,2.3,1
333-5430,226.7,110,10.2,12,1,3.24,1
365-9696,240.1,112,10.8,10.6,3,2.86,0
410-4023,165.1,96,7.43,9.9,2,2.67,1
411-7649,160.6,112,7.23,11.2,6,3.02,1
338-4065,201.4,100,9.06,7.5,3,2.03,4
421-9401,198.6,73,8.94,9.3,5,2.51,0
343-9658,247.4,108,11.13,6.8,7,1.84,0
349-4369,135,88,6.08,10.3,3,2.78,1
351-4288,167,108,7.52,4.8,4,1.3,2
422-5874,203,99,9.14,8.4,5,2.27,2
396-2324,189,92,8.5,10.4,6,2.81,2
416-5662,168.8,72,7.6,5.4,1,1.46,0
363-9663,188.3,122,8.47,7,5,1.89,3
410-9477,219.4,92,9.87,10,3,2.7,0
417-4404,209.5,93,9.43,9.8,2,2.65,0
372-8048,239.3,81,10.77,16,6,4.32,1
356-3646,212.5,106,9.56,7.5,6,2.03,2
351-9604,171.8,124,7.73,9.3,11,2.51,2
355-9581,77.2,112,3.47,15.3,1,4.13,1
396-5189,197.3,83,8.88,12.5,3,3.38,0
356-9187,263.6,102,11.86,10.3,2,2.78,3
394-5537,200,108,9,11.3,3,3.05,1
408-2712,205.2,130,9.23,10.9,4,2.94,1
404-4486,180.2,97,8.11,12.5,7,3.38,1
355-1113,217.4,128,9.78,9.6,9,2.59,1
411-4674,209.3,128,9.42,11.2,5,3.02,3
376-4519,214.4,153,9.65,12.4,7,3.35,2
382-2879,181,98,8.15,11.4,4,3.08,1
420-1383,259.2,94,11.66,12.8,2,3.46,1
411-7390,155.6,125,7,11.8,5,3.19,2
383-8848,203.2,49,9.14,8.6,3,2.32,0
387-9301,164.2,108,7.39,11.2,3,3.02,1
399-3164,214.6,134,9.66,8,3,2.16,1
352-6573,189.4,123,8.52,13.5,3,3.65,1
408-3384,198.5,86,8.93,6.3,2,1.7,2
419-6033,245.8,112,11.06,12.3,6,3.32,1
336-2090,145.7,67,6.56,12.4,4,3.35,0
343-7242,131.6,103,5.92,6.8,3,1.84,1
376-1713,154.5,109,6.95,12.6,5,3.4,1
381-5878,349.2,110,15.71,9.6,7,2.59,2
390-5470,208.3,86,9.37,11.1,6,3,0
414-4803,179.1,110,8.06,9.6,4,2.59,3
382-5478,192.9,122,8.68,6.9,5,1.86,2
333-7637,107.9,82,4.86,12.2,3,3.29,1
341-1647,173.4,92,7.8,6.3,3,1.7,4
411-4232,202.2,76,9.1,12.5,5,3.38,0
339-2616,245.7,81,11.06,9.8,2,2.65,0
327-3850,260,94,11.7,8.3,3,2.24,0
328-7209,190.7,76,8.58,14.3,9,3.86,1
366-2212,223.6,69,10.06,9.3,2,2.51,2
356-1420,115.7,70,5.21,9.7,7,2.62,2
343-1323,180.3,80,8.11,6,3,1.62,3
361-8239,153.7,86,6.92,11,3,2.97,0
384-1621,136.6,91,6.15,9.6,5,2.59,1
360-3525,299.7,90,13.49,9.6,9,2.59,3
392-3813,208.4,111,9.38,10.1,5,2.73,1
337-6898,280.5,89,12.62,5.9,2,1.59,0
366-8036,272.4,111,12.26,8.5,5,2.3,0
336-5702,258.3,100,11.62,11.6,4,3.13,1
392-2381,244.9,105,11.02,11.1,5,3,3
369-6880,160.2,115,7.21,17.2,9,4.64,2
416-8697,240.7,106,10.83,10.6,2,2.86,1
345-3451,176,83,7.92,9.5,6,2.57,3
379-2514,181.7,53,8.18,6.3,3,1.7,1
421-3528,162.8,132,7.33,14.8,12,4,0
329-9046,289.2,83,13.01,9.9,6,2.67,3
406-3890,225.1,110,10.13,11.7,5,3.16,1
403-8904,220.3,115,9.91,7.6,2,2.05,3
393-4086,294.7,124,13.26,8.1,2,2.19,1
400-1367,271.5,92,12.22,11.2,4,3.02,2
377-9473,112.3,94,5.05,11.6,6,3.13,1
396-3068,255.4,93,11.49,5.3,3,1.43,1
331-9293,257.4,97,11.58,8.1,4,2.19,0
347-1914,212.7,92,9.57,13.3,13,3.59,2
395-1962,223.5,75,10.06,11,2,2.97,3
401-5485,132.7,87,5.97,6.7,2,1.81,0
355-6560,146.9,106,6.61,12.8,3,3.46,0
363-3911,244.3,105,10.99,10.5,2,2.84,0
345-1998,228.4,126,10.28,0,0,0,1
361-5277,186.3,76,8.38,12.3,4,3.32,1
376-7145,280.2,120,12.61,12.8,7,3.46,0
366-7360,263.4,175,11.85,5.9,2,1.59,2
347-7898,250.6,120,11.28,8.2,4,2.21,1
390-7328,179.6,115,8.08,11.1,9,3,2
356-5491,126.8,82,5.71,8,4,2.16,2
373-3251,180.5,118,8.12,11.9,3,3.21,2
378-8019,75.8,95,3.41,7.5,2,2.03,1
386-1548,240.4,111,10.82,12.6,7,3.4,3
397-1649,251.9,121,11.34,7.5,5,2.03,1
402-9691,280.7,76,12.63,9.3,3,2.51,0
334-9806,263.6,82,11.86,12.4,12,3.35,0
378-7733,261.9,76,11.79,11.1,5,3,1
407-2248,227.8,120,10.25,11.4,5,3.08,2
407-2081,234.9,138,10.57,11.6,5,3.13,1
415-4857,205.1,129,9.23,12.3,3,3.32,1
354-7314,146.2,87,6.58,14.8,8,4,3
346-5611,240.8,90,10.84,9.1,8,2.46,2
349-4703,227.2,104,10.22,6.6,3,1.78,0
421-1469,144.9,84,6.52,17.5,5,4.73,1
420-5990,182.5,120,8.21,7.6,1,2.05,2
389-4780,123.4,114,5.55,9.4,4,2.54,2
357-2735,169.5,99,7.63,12.9,3,3.48,1
409-4791,113.5,92,5.11,9,3,2.43,3
380-5286,130.9,90,5.89,11.6,2,3.13,1
392-1616,190.5,123,8.57,9.2,5,2.48,7
364-1969,152.9,94,6.88,9.8,6,2.65,2
390-4152,67.7,136,3.05,13,6,3.51,1
367-7039,163.1,107,7.34,10.5,8,2.84,2
391-6607,191.7,134,8.63,12.5,3,3.38,0
379-6652,264.2,91,11.89,11.9,7,3.21,0
384-1833,199.3,72,8.97,8.6,4,2.32,2
403-2455,205.2,99,9.23,12.1,9,3.27,0
391-1348,232,87,10.44,7.8,4,2.11,2
408-4174,233.4,66,10.5,6.7,3,1.81,2
366-4334,207.7,73,9.35,10.7,5,2.89,2
406-5059,125.7,104,5.66,5.4,3,1.46,1
373-6784,246.5,99,11.09,9.2,10,2.48,4
408-3532,218.5,87,9.83,18.2,1,4.91,1
350-8680,196.8,93,8.86,14,6,3.78,1
398-9870,121,102,5.44,8.5,3,2.3,0
343-3356,224.7,123,10.11,12.4,8,3.35,0
415-4609,217.5,92,9.79,9.9,3,2.67,2
404-5387,113.5,84,5.11,7.8,2,2.11,1
415-8151,141.9,113,6.39,6.6,1,1.78,0
393-3300,191.6,94,8.62,3.5,6,0.95,3
391-7661,76.4,92,3.44,12.2,8,3.29,3
339-4317,268,115,12.06,11.9,3,3.21,1
390-9359,255,131,11.48,5.9,3,1.59,0
364-2495,196.7,85,8.85,10.1,5,2.73,4
421-1189,116.6,118,5.25,11.5,2,3.11,2
402-9980,108,100,4.86,10.1,6,2.73,2
376-5908,149.5,107,6.73,12.7,6,3.43,2
400-3150,175.5,75,7.9,13.1,2,3.54,2
336-1749,226.9,120,10.21,12,4,3.24,0
420-1259,236.6,92,10.65,9.5,2,2.57,1
378-9029,308.2,119,13.87,7.7,6,2.08,2
342-7514,245.1,88,11.03,10.7,1,2.89,1
422-4956,178.7,130,8.04,7.2,7,1.94,0
389-8606,172.7,102,7.77,9.1,5,2.46,1
406-7261,230.8,83,10.39,10.9,5,2.94,1
417-7973,231.5,119,10.42,8,1,2.16,2
390-2891,123,102,5.54,4.7,4,1.27,3
385-7387,248.7,97,11.19,11.3,5,3.05,2
362-2776,147.1,98,6.62,3.6,7,0.97,2
329-1955,143.9,87,6.48,10,6,2.7,2
406-2454,187.2,119,8.42,10.3,2,2.78,1
335-3913,296.3,90,13.33,14.5,3,3.92,2
355-7705,138.7,108,6.24,10.8,3,2.92,1
410-7108,167.1,124,7.52,9,1,2.43,3
351-7369,183.5,105,8.26,14.2,2,3.83,1
349-9566,217.5,80,9.79,13.7,6,3.7,3
333-3421,140,119,6.3,11.7,4,3.16,2
393-8199,144.1,124,6.48,7.7,3,2.08,1
388-4879,187.2,119,8.42,16.5,4,4.46,1
416-1557,150.8,90,6.79,10.2,3,2.75,3
356-7217,168.9,117,7.6,10.7,8,2.89,1
350-2012,311.6,93,14.02,10.3,2,2.78,1
373-6379,200.7,108,9.03,10.2,5,2.75,1
355-7293,215.8,154,9.71,8.4,4,2.27,1
406-4588,179.3,124,8.07,7.4,8,2,1
375-8493,122.6,102,5.52,8.6,2,2.32,1
361-2924,158.6,110,7.14,11.3,4,3.05,2
359-6163,183.1,103,8.24,12.9,2,3.48,1
411-8140,207.2,107,9.32,9.6,1,2.59,2
381-9049,169.3,92,7.62,9.5,5,2.57,2
344-4478,269.7,104,12.14,12.5,6,3.38,2
360-2690,250.1,109,11.25,0,0,0,1
410-7383,193.4,98,8.7,9.6,4,2.59,3
356-1889,235.3,106,10.59,9.1,5,2.46,2
341-2360,167.6,101,7.54,12.3,5,3.32,1
370-3021,246.8,126,11.11,9.2,6,2.48,0
336-4656,170.5,140,7.67,9.1,4,2.46,2
350-1354,143.9,71,6.48,4.6,4,1.24,1
346-5707,244.3,128,10.99,11.6,6,3.13,3
405-8370,169.7,93,7.64,11.4,7,3.08,1
369-5222,129.4,97,5.82,13.1,8,3.54,0
347-7420,240.1,91,10.8,6.6,8,1.78,1
392-6856,208.8,124,9.4,10.6,5,2.86,0
371-5556,163.2,116,7.34,8.7,3,2.35,3
